,propensity,flux intensity,Type
HCC1937_BREAST,0.3973,17.949664158504465,BREAST
HCC1954_BREAST,0.4226,17.438217982193017,BREAST
HCC202_BREAST,0.3668,10.8103441584256,BREAST
HCC2108_LUNG,0.5872,9.861280439639533,LUNG
HCC2218_BREAST,0.3642,10.825555593783427,BREAST
HCC2279_LUNG,0.4811,13.761641196452638,LUNG
HCC2935_LUNG,0.3979,20.540242882630693,LUNG
HCC33_LUNG,0.471,11.773374610605236,LUNG
HCC366_LUNG,0.4783,13.791464044947748,LUNG
HCC38_BREAST,0.3713,15.556281581273746,BREAST
HCC4006_LUNG,0.3887,19.954297679297948,LUNG
HCC44_LUNG,0.467,16.19986122171726,LUNG
HCC56_LARGE_INTESTINE,0.3294,15.333960830535185,LARGE INTESTINE
HCC70_BREAST,0.4197,17.534553193952956,BREAST
HCC78_LUNG,0.4091,20.46928585608205,LUNG
HCC827_LUNG,0.439,16.306784703693527,LUNG
HCC95_LUNG,0.5828,11.961786758322567,LUNG
HCT15_LARGE_INTESTINE,0.3527,17.562447302368128,LARGE INTESTINE
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5571,7.825399837647778,HAEMATOPOIETIC AND LYMPHOID TISSUE
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.58,9.352872162614563,HAEMATOPOIETIC AND LYMPHOID TISSUE
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4411,19.17669727767251,HAEMATOPOIETIC AND LYMPHOID TISSUE
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4384,19.08629022538657,HAEMATOPOIETIC AND LYMPHOID TISSUE
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5477,7.678040221669672,HAEMATOPOIETIC AND LYMPHOID TISSUE
HMC18_BREAST,0.5768,9.453595689675415,BREAST
HOP62_LUNG,0.4968,13.254847610946182,LUNG
HOP92_LUNG,0.4717,13.889708971684064,LUNG
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5541,7.375619789948526,HAEMATOPOIETIC AND LYMPHOID TISSUE
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5563,6.948594010999783,HAEMATOPOIETIC AND LYMPHOID TISSUE
HUCCT1_BILIARY_TRACT,0.4728,15.133704601587548,BILIARY TRACT
HUG1N_STOMACH,0.3165,14.394201615464093,STOMACH
HUH28_BILIARY_TRACT,0.5377,11.523658384388282,BILIARY TRACT
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5503,7.540130336900128,HAEMATOPOIETIC AND LYMPHOID TISSUE
IGROV1_OVARY,0.4075,20.510847092212103,OVARY
IPC298_SKIN,0.6157,10.743350334345902,SKIN
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5459,7.423478929906876,HAEMATOPOIETIC AND LYMPHOID TISSUE
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4374,19.332019913041304,HAEMATOPOIETIC AND LYMPHOID TISSUE
JMSU1_URINARY_TRACT,0.5767,9.294289544291198,URINARY TRACT
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5541,7.347316069787574,HAEMATOPOIETIC AND LYMPHOID TISSUE
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4426,18.309363176034005,HAEMATOPOIETIC AND LYMPHOID TISSUE
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.55,7.443260626882365,HAEMATOPOIETIC AND LYMPHOID TISSUE
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5449,7.391252349155186,HAEMATOPOIETIC AND LYMPHOID TISSUE
K029AX_SKIN,0.6174,10.726771376753716,SKIN
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.437,18.29210333160791,HAEMATOPOIETIC AND LYMPHOID TISSUE
KALS1_CENTRAL_NERVOUS_SYSTEM,0.4614,14.30384289045906,CENTRAL NERVOUS SYSTEM
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5692,7.909880629511366,HAEMATOPOIETIC AND LYMPHOID TISSUE
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5654,6.979741985408098,HAEMATOPOIETIC AND LYMPHOID TISSUE
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5388,7.203270243516056,HAEMATOPOIETIC AND LYMPHOID TISSUE
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5381,7.685430651141938,HAEMATOPOIETIC AND LYMPHOID TISSUE
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5712,10.377406419335308,HAEMATOPOIETIC AND LYMPHOID TISSUE
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5379,7.624210770339276,HAEMATOPOIETIC AND LYMPHOID TISSUE
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5738,8.891045200662576,HAEMATOPOIETIC AND LYMPHOID TISSUE
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5539,7.379735752306536,HAEMATOPOIETIC AND LYMPHOID TISSUE
KE39_STOMACH,0.3207,15.39663162554177,STOMACH
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5498,7.509325473901996,HAEMATOPOIETIC AND LYMPHOID TISSUE
KELLY_AUTONOMIC_GANGLIA,0.3439,17.260178217571223,AUTONOMIC GANGLIA
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5373,7.118831364390126,HAEMATOPOIETIC AND LYMPHOID TISSUE
